x1 y1 z1 x2 y2 z2 radius R G B time type 
-0.8174 -0.1328 -7.2855 -0.8909 -0.1154 -7.3510 0.0500 0.4314 0.3922 0.1961 1.3247 1.0000 
-0.8909 -0.1154 -7.3510 -0.9007 -0.1668 -7.4363 0.0500 0.4314 0.3922 0.1961 1.3541 1.0000 
-0.9007 -0.1668 -7.4363 -0.8972 -0.2368 -7.5076 0.0500 0.4314 0.3922 0.1961 1.3835 1.0000 
-0.8972 -0.2368 -7.5076 -0.8403 -0.2790 -7.5782 0.0500 0.4314 0.3922 0.1961 1.4131 1.0000 
-0.8403 -0.2790 -7.5782 -0.7859 -0.3298 -7.6449 0.0500 0.4314 0.3922 0.1961 1.4428 1.0000 
-0.7859 -0.3298 -7.6449 -0.7916 -0.3377 -7.7445 0.0500 0.4314 0.3922 0.1961 1.4725 1.0000 
-0.7916 -0.3377 -7.7445 -0.8087 -0.3413 -7.8429 0.0500 0.4314 0.3922 0.1961 1.5024 1.0000 
-0.8087 -0.3413 -7.8429 -0.7807 -0.3509 -7.9384 0.0500 0.4314 0.3922 0.1961 1.5324 1.0000 
-0.7807 -0.3509 -7.9384 -0.7845 -0.3499 -8.0383 0.0500 0.4314 0.3922 0.1961 1.5625 1.0000 
-0.7845 -0.3499 -8.0383 -0.7572 -0.2946 -8.1171 0.0500 0.4314 0.3922 0.1961 1.5927 1.0000 
-0.7572 -0.2946 -8.1171 -0.7030 -0.2739 -8.1985 0.0500 0.4314 0.3922 0.1961 1.6230 1.0000 
-0.7030 -0.2739 -8.1985 -0.6553 -0.2189 -8.2671 0.0500 0.4314 0.3922 0.1961 1.6534 1.0000 
-0.6553 -0.2189 -8.2671 -0.6094 -0.1624 -8.3357 0.0500 0.4314 0.3922 0.1961 1.6839 1.0000 
-0.6094 -0.1624 -8.3357 -0.5593 -0.1113 -8.4055 0.0500 0.4314 0.3922 0.1961 1.7146 1.0000 
-0.5593 -0.1113 -8.4055 -0.4887 -0.0742 -8.4658 0.0500 0.4314 0.3922 0.1961 1.7453 1.0000 
-0.4887 -0.0742 -8.4658 -0.4145 -0.0276 -8.5140 0.0500 0.4314 0.3922 0.1961 1.7762 1.0000 
-0.4145 -0.0276 -8.5140 -0.3438 -0.0053 -8.5811 0.0500 0.4314 0.3922 0.1961 1.8072 1.0000 
-0.3438 -0.0053 -8.5811 -0.3115 0.0489 -8.6587 0.0500 0.4314 0.3922 0.1961 1.8383 1.0000 
-0.3115 0.0489 -8.6587 -0.2794 0.0958 -8.7410 0.0500 0.4314 0.3922 0.1961 1.8695 1.0000 
-0.2794 0.0958 -8.7410 -0.2569 0.1504 -8.8217 0.0500 0.4314 0.3922 0.1961 1.9008 1.0000 
-0.2569 0.1504 -8.8217 -0.2368 0.2089 -8.9003 0.0500 0.4314 0.3922 0.1961 1.9323 1.0000 
-0.2368 0.2089 -8.9003 -0.2462 0.2397 -8.9950 0.0500 0.4314 0.3922 0.1961 1.9639 1.0000 
-0.2462 0.2397 -8.9950 -0.2685 0.2387 -9.0924 0.0500 0.4314 0.3922 0.1961 1.9955 1.0000 
-0.2685 0.2387 -9.0924 -0.2516 0.2342 -9.1909 0.0500 0.4314 0.3922 0.1961 2.0274 1.0000 
-0.2516 0.2342 -9.1909 -0.2563 0.2283 -9.2906 0.0500 0.4314 0.3922 0.1961 2.0593 1.0000 
-0.2563 0.2283 -9.2906 -0.2338 0.2451 -9.3866 0.0500 0.4314 0.3922 0.1961 2.0913 1.0000 
-0.2338 0.2451 -9.3866 -0.2370 0.2665 -9.4842 0.0500 0.4314 0.3922 0.1961 2.1235 1.0000 
-0.2370 0.2665 -9.4842 -0.2404 0.2884 -9.5817 0.0500 0.4314 0.3922 0.1961 2.1558 1.0000 
-0.2404 0.2884 -9.5817 -0.2592 0.3224 -9.6739 0.0500 0.4314 0.3922 0.1961 2.1882 1.0000 
-0.2592 0.3224 -9.6739 -0.2441 0.3661 -9.7626 0.0500 0.4314 0.3922 0.1961 2.2208 1.0000 
-0.2441 0.3661 -9.7626 -0.2477 0.4137 -9.8504 0.0500 0.4314 0.3922 0.1961 2.2535 1.0000 
-0.2477 0.4137 -9.8504 -0.2743 0.4663 -9.9312 0.0500 0.4314 0.3922 0.1961 2.2863 1.0000 
-0.2743 0.4663 -9.9312 -0.3377 0.5019 -9.9998 0.0500 0.4314 0.3922 0.1961 2.3192 1.0000 
-0.3377 0.5019 -9.9998 -0.3978 0.5386 -10.0708 0.0500 0.4314 0.3922 0.1961 2.3523 1.0000 
-0.3978 0.5386 -10.0708 -0.4728 0.5678 -10.1302 0.0500 0.4314 0.3922 0.1961 2.3855 1.0000 
-0.4728 0.5678 -10.1302 -0.5504 0.5939 -10.1876 0.0500 0.4314 0.3922 0.1961 2.4188 1.0000 
-0.5504 0.5939 -10.1876 -0.6249 0.6192 -10.2493 0.0500 0.4314 0.3922 0.1961 2.4523 1.0000 
-0.6249 0.6192 -10.2493 -0.6870 0.6633 -10.3141 0.0500 0.4314 0.3922 0.1961 2.4859 1.0000 
-0.6870 0.6633 -10.3141 -0.7305 0.6987 -10.3969 0.0500 0.4314 0.3922 0.1961 2.5196 1.0000 
-0.7305 0.6987 -10.3969 -0.7530 0.7308 -10.4889 0.0500 0.4314 0.3922 0.1961 2.5535 1.0000 
-0.7530 0.7308 -10.4889 -0.7661 0.7152 -10.5868 0.0500 0.4314 0.3922 0.1961 2.5875 1.0000 
-0.7661 0.7152 -10.5868 -0.7866 0.7043 -10.6841 0.0500 0.4314 0.3922 0.1961 2.6217 1.0000 
-0.7866 0.7043 -10.6841 -0.7736 0.6744 -10.7786 0.0500 0.4314 0.3922 0.1961 2.6560 1.0000 
-0.7736 0.6744 -10.7786 -0.7628 0.6519 -10.8754 0.0500 0.4314 0.3922 0.1961 2.6904 1.0000 
-0.7628 0.6519 -10.8754 -0.7462 0.5976 -10.9578 0.0500 0.4314 0.3922 0.1961 2.7250 1.0000 
-0.7462 0.5976 -10.9578 -0.7200 0.6055 -11.0539 0.0500 0.4314 0.3922 0.1961 2.7597 1.0000 
-0.7200 0.6055 -11.0539 -0.7072 0.6214 -11.1518 0.0500 0.4314 0.3922 0.1961 2.7946 1.0000 
-0.7072 0.6214 -11.1518 -0.6968 0.6363 -11.2502 0.0500 0.4314 0.3922 0.1961 2.8296 1.0000 
-0.6968 0.6363 -11.2502 -0.7172 0.6911 -11.3313 0.0500 0.4314 0.3922 0.1961 2.8647 1.0000 
-0.7172 0.6911 -11.3313 -0.7413 0.7513 -11.4074 0.0500 0.4314 0.3922 0.1961 2.9000 1.0000 
-0.7413 0.7513 -11.4074 -0.7930 0.8103 -11.4694 0.0500 0.4314 0.3922 0.1961 2.9355 1.0000 
-0.7930 0.8103 -11.4694 -0.8526 0.8830 -11.5036 0.0500 0.4314 0.3922 0.1961 2.9711 1.0000 
-0.8526 0.8830 -11.5036 -0.8964 0.9607 -11.5487 0.0500 0.4314 0.3922 0.1961 3.0069 1.0000 
-0.8964 0.9607 -11.5487 -0.9422 0.9914 -11.6322 0.0500 0.4314 0.3922 0.1961 3.0428 1.0000 
-0.9422 0.9914 -11.6322 -0.9337 1.0046 -11.7309 0.0500 0.4314 0.3922 0.1961 3.0788 1.0000 
-0.9337 1.0046 -11.7309 -0.9304 1.0116 -11.8306 0.0500 0.4314 0.3922 0.1961 3.1151 1.0000 
-0.9304 1.0116 -11.8306 -0.9201 1.0187 -11.9298 0.0500 0.4314 0.3922 0.1961 3.1514 1.0000 
-0.9201 1.0187 -11.9298 -0.9084 1.0310 -12.0284 0.0500 0.4314 0.3922 0.1961 3.1880 1.0000 
-0.9084 1.0310 -12.0284 -0.9087 1.0357 -12.1283 0.0500 0.4314 0.3922 0.1961 3.2247 1.0000 
-0.9087 1.0357 -12.1283 -0.8875 1.0262 -12.2256 0.0500 0.4314 0.3922 0.1961 3.2616 1.0000 
-0.8875 1.0262 -12.2256 -0.8098 1.0212 -12.2883 0.0500 0.4314 0.3922 0.1961 3.2986 1.0000 
-0.8098 1.0212 -12.2883 -0.7631 1.0640 -12.3656 0.0500 0.4314 0.3922 0.1961 3.3358 1.0000 
-0.7631 1.0640 -12.3656 -0.7275 1.0622 -12.4591 0.0500 0.4314 0.3922 0.1961 3.3731 1.0000 
-0.7275 1.0622 -12.4591 -0.7002 1.0447 -12.5537 0.0500 0.4314 0.3922 0.1961 3.4107 1.0000 
-0.7002 1.0447 -12.5537 -0.6910 1.0168 -12.6493 0.0500 0.4314 0.3922 0.1961 3.4484 1.0000 
-0.6910 1.0168 -12.6493 -0.6840 0.9753 -12.7399 0.0500 0.4314 0.3922 0.1961 3.4862 1.0000 
-0.6840 0.9753 -12.7399 -0.6734 0.9314 -12.8292 0.0500 0.4314 0.3922 0.1961 3.5243 1.0000 
-0.6734 0.9314 -12.8292 -0.6642 0.8884 -12.9190 0.0500 0.4314 0.3922 0.1961 3.5625 1.0000 
-0.6642 0.8884 -12.9190 -0.6110 0.9112 -13.0005 0.0500 0.4314 0.3922 0.1961 3.6009 1.0000 
-0.6110 0.9112 -13.0005 -0.5601 0.9413 -13.0812 0.0500 0.4314 0.3922 0.1961 3.6395 1.0000 
-0.5601 0.9413 -13.0812 -0.5087 0.9688 -13.1624 0.0500 0.4314 0.3922 0.1961 3.6782 1.0000 
-0.5087 0.9688 -13.1624 -0.4570 1.0101 -13.2374 0.0500 0.4314 0.3922 0.1961 3.7171 1.0000 
-0.4570 1.0101 -13.2374 -0.3965 1.0240 -13.3158 0.0500 0.4314 0.3922 0.1961 3.7562 1.0000 
-0.3965 1.0240 -13.3158 -0.3482 1.0419 -13.4015 0.0500 0.4314 0.3922 0.1961 3.7955 1.0000 
-0.3482 1.0419 -13.4015 -0.2994 1.0675 -13.4850 0.0500 0.4314 0.3922 0.1961 3.8350 1.0000 
-0.2994 1.0675 -13.4850 -0.2520 1.0940 -13.5690 0.0500 0.4314 0.3922 0.1961 3.8747 1.0000 
-0.2520 1.0940 -13.5690 -0.1935 1.1251 -13.6438 0.0500 0.4314 0.3922 0.1961 3.9145 1.0000 
-0.1935 1.1251 -13.6438 -0.1602 1.1983 -13.7032 0.0500 0.4314 0.3922 0.1961 3.9546 1.0000 
-0.1602 1.1983 -13.7032 -0.1325 1.2573 -13.7791 0.0500 0.4314 0.3922 0.1961 3.9948 1.0000 
-0.1325 1.2573 -13.7791 -0.1304 1.3036 -13.8677 0.0500 0.4314 0.3922 0.1961 4.0353 1.0000 
-0.1304 1.3036 -13.8677 -0.1452 1.3414 -13.9591 0.0500 0.4314 0.3922 0.1961 4.0759 1.0000 
-0.1452 1.3414 -13.9591 -0.1681 1.3675 -14.0529 0.0500 0.4314 0.3922 0.1961 4.1167 1.0000 
-0.1681 1.3675 -14.0529 -0.1761 1.3600 -14.1523 0.0500 0.4314 0.3922 0.1961 4.1578 1.0000 
-0.1761 1.3600 -14.1523 -0.1882 1.3528 -14.2513 0.0500 0.4314 0.3922 0.1961 4.1990 1.0000 
-0.1882 1.3528 -14.2513 -0.1832 1.3512 -14.3511 0.0500 0.4314 0.3922 0.1961 4.2404 1.0000 
-0.1832 1.3512 -14.3511 -0.1731 1.3520 -14.4506 0.0500 0.4314 0.3922 0.1961 4.2821 1.0000 
-0.1731 1.3520 -14.4506 -0.1575 1.3726 -14.5473 0.0500 0.4314 0.3922 0.1961 4.3239 1.0000 
-0.1575 1.3726 -14.5473 -0.1911 1.3538 -14.6395 0.0500 0.4314 0.3922 0.1961 4.3660 1.0000 
-0.1911 1.3538 -14.6395 -0.1723 1.3281 -14.7343 0.0500 0.4314 0.3922 0.1961 4.4083 1.0000 
-0.1723 1.3281 -14.7343 -0.1960 1.3140 -14.8305 0.0500 0.4314 0.3922 0.1961 4.4508 1.0000 
-0.1960 1.3140 -14.8305 -0.2453 1.3305 -14.9159 0.0500 0.4314 0.3922 0.1961 4.4935 1.0000 
-0.2453 1.3305 -14.9159 -0.2964 1.3174 -15.0008 0.0500 0.4314 0.3922 0.1961 4.5364 1.0000 
-0.2964 1.3174 -15.0008 -0.3598 1.2983 -15.0758 0.0500 0.4314 0.3922 0.1961 4.5796 1.0000 
-0.3598 1.2983 -15.0758 -0.4204 1.2850 -15.1542 0.0500 0.4314 0.3922 0.1961 4.6229 1.0000 
-0.4204 1.2850 -15.1542 -0.4123 1.3209 -15.2471 0.0500 0.4314 0.3922 0.1961 4.6665 1.0000 
-0.4123 1.3209 -15.2471 -0.3940 1.3096 -15.3448 0.0500 0.4314 0.3922 0.1961 4.7104 1.0000 
-0.3940 1.3096 -15.3448 -0.3677 1.2933 -15.4399 0.0500 0.4314 0.3922 0.1961 4.7544 1.0000 
-0.3677 1.2933 -15.4399 -0.3676 1.2628 -15.5351 0.0500 0.4314 0.3922 0.1961 4.7987 1.0000 
-0.3676 1.2628 -15.5351 -0.3897 1.2661 -15.6326 0.0500 0.4314 0.3922 0.1961 4.8433 1.0000 
-0.3897 1.2661 -15.6326 -0.3975 1.2852 -15.7304 0.0500 0.4314 0.3922 0.1961 4.8880 1.0000 
-0.3975 1.2852 -15.7304 -0.4049 1.3197 -15.8240 0.0500 0.4314 0.3922 0.1961 4.9331 1.0000 
-0.4049 1.3197 -15.8240 -0.4314 1.3428 -15.9176 0.0500 0.4314 0.3922 0.1961 4.9783 1.0000 
-0.4314 1.3428 -15.9176 -0.4550 1.3613 -16.0130 0.0500 0.4314 0.3922 0.1961 5.0238 1.0000 
-0.4550 1.3613 -16.0130 -0.5148 1.3457 -16.0916 0.0500 0.4314 0.3922 0.1961 5.0696 1.0000 
-0.5148 1.3457 -16.0916 -0.5651 1.3259 -16.1758 0.0500 0.4314 0.3922 0.1961 5.1156 1.0000 
-0.5651 1.3259 -16.1758 -0.6207 1.3026 -16.2556 0.0500 0.4314 0.3922 0.1961 5.1618 1.0000 
-0.6207 1.3026 -16.2556 -0.6740 1.2756 -16.3358 0.0500 0.4314 0.3922 0.1961 5.2084 1.0000 
-0.6740 1.2756 -16.3358 -0.7458 1.2443 -16.3979 0.0500 0.4314 0.3922 0.1961 5.2551 1.0000 
-0.7458 1.2443 -16.3979 -0.8164 1.2470 -16.4687 0.0500 0.4314 0.3922 0.1961 5.3022 1.0000 
-0.8164 1.2470 -16.4687 -0.8436 1.3083 -16.5429 0.0500 0.4314 0.3922 0.1961 5.3495 1.0000 
-0.8436 1.3083 -16.5429 -0.8650 1.3666 -16.6212 0.0500 0.4314 0.3922 0.1961 5.3971 1.0000 
-0.8650 1.3666 -16.6212 -0.8869 1.4143 -16.7063 0.0500 0.4314 0.3922 0.1961 5.4449 1.0000 
-0.8869 1.4143 -16.7063 -0.8642 1.4189 -16.8036 0.0500 0.4314 0.3922 0.1961 5.4930 1.0000 
-0.8642 1.4189 -16.8036 -0.8420 1.4243 -16.9010 0.0500 0.4314 0.3922 0.1961 5.5414 1.0000 
-0.8420 1.4243 -16.9010 -0.8582 1.4597 -16.9931 0.0500 0.4314 0.3922 0.1961 5.5901 1.0000 
-0.8582 1.4597 -16.9931 -0.8990 1.5065 -17.0714 0.0500 0.4314 0.3922 0.1961 5.6391 1.0000 
-0.8990 1.5065 -17.0714 -0.9774 1.4835 -17.1291 0.0500 0.4314 0.3922 0.1961 5.6884 1.0000 
-0.9774 1.4835 -17.1291 -1.0612 1.4562 -17.1764 0.0500 0.4314 0.3922 0.1961 5.7379 1.0000 
-1.0612 1.4562 -17.1764 -1.1335 1.4166 -17.2329 0.0500 0.4314 0.3922 0.1961 5.7878 1.0000 
-1.1335 1.4166 -17.2329 -1.1195 1.4186 -17.3319 0.0500 0.4314 0.3922 0.1961 5.8379 1.0000 
-1.1195 1.4186 -17.3319 -1.0929 1.4224 -17.4283 0.0500 0.4314 0.3922 0.1961 5.8884 1.0000 
-1.0929 1.4224 -17.4283 -1.0666 1.4254 -17.5247 0.0500 0.4314 0.3922 0.1961 5.9391 1.0000 
-1.0666 1.4254 -17.5247 -1.0410 1.4384 -17.6205 0.0500 0.4314 0.3922 0.1961 5.9902 1.0000 
-1.0410 1.4384 -17.6205 -1.0701 1.4422 -17.7161 0.0500 0.4314 0.3922 0.1961 6.0416 1.0000 
-1.0701 1.4422 -17.7161 -1.0639 1.4294 -17.8151 0.0500 0.4314 0.3922 0.1961 6.0933 1.0000 
